Current Unix Time (s),Estimated X Anglular Rate (deg/s),Estimated Y Anglular Rate (deg/s),Estimated Z Anglular Rate (deg/s),Magnetic Field X (nT),Magnetic Field Y(nT),Magnetic Field Z (nT),Y Angular Rate (deg/s),MagX,MagY,MagZ
1420747652,-0.21,-0.18,0.1,-11980,37590,35750,0.39,14318,8055,-14602
1420747653,-0.22,-0.17,0.11,-11810,37450,35930,0.36,14396,7978,-14541
1420747654,-0.18,-0.21,0.08,-11600,37390,36070,0.31,14456,7882,-14518
1420747655,-0.21,-0.17,0.11,-11440,37290,36310,0.3,14559,7810,-14473
1420747656,-0.2,-0.2,0.09,-11250,37210,36490,0.32,14634,7722,-14439
1420747657,-0.18,-0.2,0.08,-11070,37130,36640,0.33,14701,7642,-14406
1420747658,-0.18,-0.21,0.07,-10890,37020,36780,0.32,14760,7560,-14360
1420747659,3.19,-3.51,0.09,-3650,51090,34700,0.31,13867,4277,-20346
1420747660,-1.15,0.92,0.49,-10530,36900,37150,0.31,14918,7397,-14307
1420747661,-0.9,0.69,0.44,-10340,36820,37290,0.31,14979,7312,-14274
1420747662,-0.73,0.53,0.44,-10150,36720,37440,0.3,15042,7224,-14233
1420747663,-0.59,0.44,0.45,-9990,36690,37590,0.31,15105,7152,-14219
1420747664,-0.49,0.34,0.45,-9770,36620,37710,0.32,15157,7051,-14188
1420747665,-0.42,0.29,0.45,-9580,36540,37840,0.32,15214,6968,-14154
1420747666,-0.37,0.24,0.45,-9410,36510,38010,0.31,15288,6889,-14142
1420747667,-0.33,0.23,0.45,-9260,36450,38170,0.31,15354,6822,-14118
1420747668,-0.3,0.2,0.45,-9070,36350,38280,0.3,15401,6736,-14075
1420747669,-0.27,0.18,0.44,-8890,36320,38420,0.3,15462,6655,-14062
1420747670,2.45,-2.01,0.76,-2900,47850,36660,0.29,14710,3936,-18969
1420747671,-0.91,0.6,0.22,-8560,36210,38600,0.3,15540,6503,-14016
1420747672,-7.87,3.19,-3.42,-20350,9350,42350,0.31,17146,11851,-2586
1420747673,1.39,-0.39,1.31,-8170,36140,38810,0.3,15628,6329,-13985
1420747674,0.97,-0.33,0.97,-8010,36080,38920,0.29,15675,6253,-13959
1420747675,0.67,-0.19,0.84,-7820,36080,38990,0.29,15708,6168,-13959
1420747676,0.44,-0.08,0.73,-7670,36050,39110,0.3,15756,6100,-13945
1420747677,0.29,-0.01,0.66,-7490,36060,39160,0.31,15781,6017,-13951
1420747678,0.16,0.03,0.61,-7330,36000,39250,0.31,15817,5945,-13924
1420747679,0.08,0.07,0.58,-7120,35990,39320,0.3,15848,5853,-13919
1420747680,0.03,0.1,0.55,-6940,35980,39400,0.3,15884,5770,-13915
1420747681,0,0.12,0.53,-6760,35950,39450,0.3,15902,5690,-13905
1420747682,-0.03,0.14,0.51,-6610,35970,39510,0.3,15931,5618,-13912
1420747683,-0.05,0.15,0.5,-6430,35950,39570,0.29,15953,5539,-13905
1420747684,-0.05,0.15,0.5,-6260,35980,39590,0.29,15962,5459,-13917
1420747685,-0.06,0.16,0.49,-6090,35990,39640,0.29,15987,5385,-13921
1420747686,-0.06,0.16,0.49,-5890,36000,39690,0.29,16006,5295,-13925
1420747687,-0.07,0.17,0.48,-5730,35990,39750,0.29,16032,5223,-13922
1420747688,-0.05,0.17,0.48,-5560,36010,39710,0.29,16017,5144,-13928
1420747689,-0.05,0.17,0.48,-5390,36040,39750,0.29,16031,5068,-13942
1420747690,-0.05,0.16,0.49,-5160,36000,39720,0.29,16020,4961,-13923
1420747691,-0.04,0.15,0.49,-4930,36030,39700,0.29,16010,4856,-13939
1420747692,-0.03,0.17,0.48,-4800,36090,39720,0.29,16018,4797,-13963
1420747693,-0.02,0.17,0.48,-4620,36120,39710,0.29,16015,4716,-13975
1420747694,-0.02,0.17,0.48,-4450,36140,39730,0.29,16022,4641,-13986
1420747695,-0.01,0.18,0.47,-4290,36190,39680,0.28,16002,4569,-14007
1420747696,0,0.18,0.47,-4140,36270,39680,0.27,16001,4501,-14041
1420747697,0,0.17,0.47,-3940,36340,39670,0.26,15998,4411,-14071
1420747698,-2.74,1.27,-0.45,-8010,25820,40910,0.27,16530,6254,-9593
1420747699,-6.11,2.51,-1.72,-13620,12410,42640,0.28,17272,8801,-3888
1420747700,2.15,-0.52,1.58,-3490,36540,39550,0.27,15946,4204,-14155
1420747701,1.57,-0.29,1.26,-3340,36570,39520,0.25,15935,4136,-14168
1420747702,1.17,-0.11,1.09,-3150,36680,39430,0.25,15893,4052,-14213
1420747703,0.87,0.02,0.97,-2980,36760,39390,0.28,15880,3975,-14249
1420747704,0.87,0.02,0.97,0,0,0,0.29,14491,-793,-24318
1420747705,0.87,0.03,0.97,-2670,36940,39270,0.29,15827,3831,-14324
1420747706,0.59,0.17,0.84,-2540,37060,39220,0.27,15803,3772,-14375
1420747707,0.43,0.24,0.78,-2360,37170,39140,0.27,15771,3694,-14422
1420747708,0.33,0.28,0.74,-2200,37240,39060,0.26,15735,3622,-14454
1420747709,0.28,0.31,0.71,-2040,37360,38950,0.26,15689,3549,-14505
1420747710,0.23,0.36,0.66,-2020,37540,38930,0.27,15680,3540,-14579
1420747711,0.22,0.36,0.65,-1860,37660,38790,0.28,15622,3466,-14633
1420747712,0.19,0.37,0.65,-1690,37780,38710,0.28,15588,3388,-14681
1420747713,0.18,0.38,0.64,-1540,37920,38640,0.28,15557,3322,-14743
1420747714,0.18,0.38,0.64,-1400,38020,38450,0.28,15477,3257,-14785
1420747715,0.18,0.39,0.63,-1250,38190,38370,0.28,15443,3188,-14855
1420747716,0.18,0.39,0.63,-1100,38330,38230,0.28,15381,3122,-14917
1420747717,0.17,0.4,0.62,-960,38410,38120,0.28,15332,3058,-14949
1420747718,1.27,-0.04,1.02,1390,43370,37120,0.27,14906,1988,-17062
1420747719,-0.06,0.51,0.46,-690,38780,37730,0.27,15166,2936,-15109
1420747720,2.32,-0.39,1.33,4320,50650,36020,0.26,14433,660,-20159
1420747721,-0.57,0.74,0.29,-370,39030,37510,0.26,15072,2792,-15213
1420747722,-0.35,0.63,0.37,-240,39170,37360,0.27,15009,2733,-15276
1420747723,-1.67,1.13,-0.13,-2770,33290,38100,0.28,15325,3879,-12770
1420747724,0.3,0.3,0.65,130,39400,36990,0.28,14848,2557,-15372
1420747725,0.33,0.33,0.59,210,39600,36630,0.27,14696,2522,-15457
1420747726,0.26,0.34,0.59,370,39690,36650,0.26,14706,2449,-15495
1420747727,0.26,0.35,0.57,500,39830,36420,0.25,14607,2393,-15554
1420747728,0.26,0.35,0.57,670,39990,36270,0.25,14539,2313,-15622
1420747729,0.26,0.37,0.55,780,40140,36050,0.27,14448,2266,-15685
1420747730,0.28,0.37,0.54,920,40340,35820,0.28,14349,2201,-15772
1420747731,0.28,0.37,0.54,1040,40490,35640,0.28,14270,2144,-15836
1420747732,0.28,0.38,0.53,1180,40650,35450,0.28,14191,2082,-15904
1420747733,0.29,0.38,0.53,1310,40820,35190,0.27,14080,2022,-15977
1420747734,0.29,0.38,0.52,1440,40970,35000,0.27,13997,1966,-16041
1420747735,0.3,0.38,0.52,1590,41160,34750,0.27,13892,1895,-16121
1420747736,-0.78,0.81,0.01,-570,36570,35220,0.27,14092,2879,-14166
1420747737,0.61,0.28,0.66,1810,41510,34270,0.27,13684,1798,-16269
1420747738,0.52,0.32,0.63,1970,41670,34060,0.26,13595,1724,-16336
1420747739,0.48,0.34,0.58,2070,41840,33780,0.26,13473,1679,-16411
1420747740,0.44,0.36,0.55,2190,42010,33530,0.26,13369,1625,-16484
1420747741,0.43,0.37,0.54,2330,42190,33240,0.27,13243,1563,-16560
1420747742,0.41,0.38,0.52,2450,42360,33000,0.27,13139,1507,-16633
1420747743,0.38,0.4,0.51,2570,42530,32780,0.27,13044,1453,-16703
1420747744,0.39,0.41,0.47,2610,42790,32520,0.27,12935,1433,-16815
1420747745,0.4,0.41,0.46,2720,42990,32210,0.27,12802,1386,-16899
1420747746,0.4,0.41,0.47,2850,43140,31900,0.27,12668,1324,-16962
1420747747,0.38,0.42,0.47,2970,43300,31680,0.27,12573,1271,-17031
1420747748,0.38,0.42,0.46,3070,43460,31400,0.26,12455,1224,-17101
1420747749,0.39,0.42,0.46,3190,43630,31060,0.26,12311,1169,-17170
1420747750,0.4,0.42,0.44,3280,43810,30760,0.25,12179,1129,-17248
1420747751,0.38,0.43,0.43,3350,43940,30500,0.26,12069,1097,-17304
1420747752,0.39,0.43,0.45,3530,44090,30190,0.28,11937,1018,-17369
1420747753,0.39,0.43,0.45,3650,44260,29890,0.28,11808,964,-17440
1420747754,0.4,0.43,0.43,3730,44430,29590,0.28,11678,927,-17514
