Current Unix Time (s),Milliseconds (ms),ADCS State,Attitude Estimation Mode,Control Mode,CubeControl Signal Enabled,CubeControl Motor Enabled,CubeSense Enabled,GPS Receiver Enabled,GPS LNA Power Enabled,Motor Driver Enabled,Magnetometer Deployment Enabled,Configuration Load Error,Orbit Parameters Load Error,CubeSense Communications Error,CubeControl Signal Communications Error,CubeControl Motor Communications Error,CubeSense Node Identification Error,CubeControl Signal Identification Error,CubeControl Motor Identification Error,Magnetometer Deployment Power Error,1s Control Loop Time Exceeded,Magnetometer Range Error,Sun Sensor Overcurrent Detected,Sun Sensor Busy Error,Sun Sensor Detection Error,Wheel Control Error,Nadir Sensor Overcurrent Detected,Nadir Sensor Busy Error,Nadir Sensor Detection Error,Estimation Error,Rate Sensor Range Error,Wheel Speed Range Error,Coarse Sun Sensor Error,Orbit Parameters are Invalid,Configuration is Invalid,Control Mode Change is not allowed,Estimator Change is not allowed,Modelled and measured magnetic field differs in size,SRAM Latch-up Error,SD Card Error,Node Recovery Error,Steady-State Y-Thomson detected,TRIAD and EKF reports same attitude,Sun is Above Local Horizon,Estimated Roll Angle (deg),Estimated Pitch Angle (deg),Estimated Yaw Angle (deg),Estimated X Anglular Rate (deg/s),Estimated Y Anglular Rate (deg/s),Estimated Z Anglular Rate (deg/s),Magnetic Field X (nT),Magnetic Field X (nT),Magnetic Field X (nT),Coarse Sun X,Coarse Sun Y,Coarse Sun Z,X Angular Rate (deg/s),Y Angular Rate (deg/s),Z Angular Rate (deg/s),CSS1,CSS2,CSS3,CSS4,CSS5,CSS6,MagX,MagY,MagZ,
1420319663,187,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,-44670,-25180,300,-0.9578857421875,0.17852783203125,0.224761962890625,0,0.63,0,3,26,3,21,114,117,3797,963,-6833,
1420319664,89,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.13,0.24,0.72,-44960,-24590,40,-0.959503173828125,0.179229736328125,0.217193603515625,0,0.76,0,3,25,3,21,113,117,3699,1008,-6880,
1420319665,89,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.13,0.21,0.68,-45210,-24070,-150,-0.973602294921875,0.182281494140625,0.137237548828125,0,0.71,0,3,16,3,21,113,117,3612,1044,-6921,
1420319666,89,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.17,0.18,0.71,-45500,-23460,-360,-0.97894287109375,0.182861328125,0.090362548828125,0,0.62,0,3,10,3,21,113,117,3511,1080,-6970,
1420319667,93,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.09,0.23,0.69,-45740,-22930,-610,-0.9818115234375,0.181243896484375,0.05609130859375,0,0.61,0,3,6,3,21,113,117,3423,1124,-7009,
1420319668,93,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.15,0.18,0.69,-46010,-22370,-800,-0.982818603515625,0.178863525390625,0.045257568359375,0,0.67,0,4,5,3,20,114,117,3330,1157,-7053,
1420319669,93,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.1,0.22,0.68,-46260,-21830,-1030,-0.983367919921875,0.17681884765625,0.04095458984375,0,0.69,0,4,4,3,20,114,117,3241,1198,-7095,
1420319670,93,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.08,0.23,0.67,-46490,-21290,-1250,-0.984100341796875,0.172637939453125,0.040985107421875,0,0.67,0,4,4,3,20,114,117,3150,1237,-7133,
1420319671,89,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,6.56,5.19,-0.31,-39190,-21620,-5410,-0.984619140625,0.170196533203125,0.03875732421875,0,0.65,0,4,4,3,19,114,117,3205,1968,-5927,
1420319672,89,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-2.06,-1.18,0.45,-46950,-20110,-1650,-0.9853515625,0.166015625,0.038787841796875,0,0.65,0,4,4,3,19,114,117,2955,1307,-7208,
1420319673,89,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-1.36,-0.69,0.65,-47140,-19550,-1880,-0.986053466796875,0.16180419921875,0.038818359375,0,0.66,0,4,4,3,18,114,117,2861,1348,-7240,
1420319674,93,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.95,-0.39,0.65,-47380,-19010,-2100,-0.986785888671875,0.157257080078125,0.03875732421875,0,0.66,0,4,4,3,18,114,117,2771,1387,-7280,
1420319675,89,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.74,-0.25,0.66,-47540,-18400,-2260,-0.987060546875,0.155487060546875,-0.038848876953125,0,0.66,0,4,4,3,18,114,117,2670,1415,-7306,
1420319676,89,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.48,-0.06,0.68,-47750,-17780,-2530,-0.987701416015625,0.151275634765625,-0.03887939453125,0,0.65,0,4,4,3,17,114,117,2568,1463,-7340,
1420319677,89,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.38,0,0.66,-47890,-17250,-2720,-0.987945556640625,0.149139404296875,-0.041046142578125,0,0.65,0,4,4,3,17,114,117,2479,1495,-7363,
1420319678,93,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.24,0.1,0.67,-48030,-16660,-2980,-0.9881591796875,0.14703369140625,-0.043243408203125,0,0.65,0,5,4,3,17,114,117,2382,1542,-7387,
1420319679,93,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.24,0.1,0.67,-48160,-16070,-3130,-0.9881591796875,0.14703369140625,-0.043243408203125,0,0.65,0,5,4,3,17,114,117,2283,1568,-7408,
1420319680,93,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.17,0.15,0.66,-48330,-15520,-3370,-0.988372802734375,0.1448974609375,-0.04541015625,0,0.64,0,5,4,3,16,114,117,2191,1610,-7437,
1420319681,93,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.11,0.19,0.67,-48390,-14910,-3610,-0.987884521484375,0.14697265625,-0.049713134765625,0,0.64,0,5,4,3,17,114,117,2091,1652,-7447,
1420319682,89,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.12,0.19,0.67,-48530,-14320,-3800,-0.985687255859375,0.15960693359375,-0.05389404296875,0,0.65,0,6,4,3,18,114,117,1993,1685,-7469,
1420319683,89,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.11,0.18,0.66,-48640,-13780,-3980,-0.98388671875,0.169708251953125,-0.05584716796875,0,0.65,0,6,4,3,19,114,117,1902,1717,-7488,
1420319684,89,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.08,0.21,0.66,-48690,-13160,-4210,-0.9832763671875,0.1717529296875,-0.060089111328125,0,0.64,0,7,4,3,20,114,117,1800,1758,-7495,
1420319685,89,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.05,0.22,0.64,-48810,-12670,-4430,-0.987060546875,0.14654541015625,-0.06463623046875,0,0.63,0,7,4,3,17,114,118,1719,1796,-7516,
1420319686,89,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.08,0.2,0.65,-48820,-12060,-4580,-0.99041748046875,0.119171142578125,-0.0693359375,0,0.63,0,8,4,3,13,114,118,1616,1823,-7518,
1420319687,89,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.02,0.24,0.63,-48830,-11540,-4840,-0.991363525390625,0.10650634765625,-0.076080322265625,0,0.63,0,8,4,3,12,114,117,1531,1868,-7519,
1420319688,93,Enabled,MagnetometerRate,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,-0.04,0.23,0.64,-48950,-10980,-5020,-0.991241455078125,0.10455322265625,-0.080596923828125,0,0.63,0,9,4,3,12,113,117,1437,1901,-7539,
