Current Unix Time (s),Milliseconds (ms),ADCS State,Attitude Estimation Mode,Control Mode,CubeControl Signal Enabled,CubeControl Motor Enabled,CubeSense Enabled,GPS Receiver Enabled,GPS LNA Power Enabled,Motor Driver Enabled,Magnetometer Deployment Enabled,Configuration Load Error,Orbit Parameters Load Error,CubeSense Communications Error,CubeControl Signal Communications Error,CubeControl Motor Communications Error,CubeSense Node Identification Error,CubeControl Signal Identification Error,CubeControl Motor Identification Error,Magnetometer Deployment Power Error,1s Control Loop Time Exceeded,Magnetometer Range Error,Sun Sensor Overcurrent Detected,Sun Sensor Busy Error,Sun Sensor Detection Error,Wheel Control Error,Nadir Sensor Overcurrent Detected,Nadir Sensor Busy Error,Nadir Sensor Detection Error,Estimation Error,Rate Sensor Range Error,Wheel Speed Range Error,Coarse Sun Sensor Error,Orbit Parameters are Invalid,Configuration is Invalid,Control Mode Change is not allowed,Estimator Change is not allowed,Modelled and measured magnetic field differs in size,SRAM Latch-up Error,SD Card Error,Node Recovery Error,Steady-State Y-Thomson detected,TRIAD and EKF reports same attitude,Sun is Above Local Horizon,Estimated Roll Angle (deg),Estimated Pitch Angle (deg),Estimated Yaw Angle (deg),Estimated X Anglular Rate (deg/s),Estimated Y Anglular Rate (deg/s),Estimated Z Anglular Rate (deg/s),Magnetic Field X (nT),Magnetic Field X (nT),Magnetic Field X (nT),Coarse Sun X,Coarse Sun Y,Coarse Sun Z,X Angular Rate (deg/s),Y Angular Rate (deg/s),Z Angular Rate (deg/s),CSS1,CSS2,CSS3,CSS4,CSS5,CSS6,MagX,MagY,MagZ,
1501306929,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-118.63,0,-0.05,1.1,-1.1,-33060,610,-30030,-0.683685302734375,0.5501708984375,0.479400634765625,0,1.21,0,10,59,8,68,84,85,-13703,17627,2551,
1501306930,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-121.65,0,1.35,0.94,-0.01,-32710,-370,-30250,-0.688232421875,0.573516845703125,0.4442138671875,0,1.11,0,4,53,4,68,82,84,-13815,17485,3028,
1501306931,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-122.36,0,1.37,0.82,-0.03,-32300,-1110,-30720,-0.697113037109375,0.57952880859375,0.42205810546875,0,1.01,0,4,50,4,69,83,85,-14031,17320,3390,
1501306932,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-122.33,0,1.48,0.73,0.04,-31900,-1900,-31020,-0.703338623046875,0.5875244140625,0.40008544921875,0,0.94,0,4,47,4,69,83,86,-14176,17156,3771,
1501306933,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-122.08,0,1.52,0.66,0.06,-31570,-2690,-31310,-0.710968017578125,0.59246826171875,0.378753662109375,0,0.89,0,4,44,4,70,84,87,-14314,17023,4153,
1501306934,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-121.72,0,1.39,0.62,-0.05,-31210,-3460,-31590,-0.7183837890625,0.59759521484375,0.35601806640625,0,0.82,0,4,42,4,70,84,88,-14450,16873,4528,
1501306935,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-121.35,0,1.29,0.6,-0.12,-30880,-4210,-31850,-0.72625732421875,0.6005859375,0.3343505859375,0,0.76,0,4,39,4,70,85,89,-14573,16741,4891,
1501306936,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-121.02,0,1.28,0.56,-0.12,-30560,-5010,-32030,-0.73333740234375,0.603302001953125,0.3133544921875,0,0.72,0,4,36,4,70,86,89,-14663,16608,5273,
1501306937,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-120.71,0,1.18,0.51,-0.21,-30250,-5770,-32220,-0.74005126953125,0.605316162109375,0.29302978515625,0,0.7,0,4,34,4,70,86,90,-14758,16479,5642,
1501306938,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-120.2,0,0.56,0.48,-0.69,-29840,-6290,-32670,-0.74951171875,0.592926025390625,0.29437255859375,0,0.69,0,9,35,8,71,89,93,-14961,16313,5897,
